category	ID	term	count	genes	logFC	adj_pval	zscore
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.16670	2.215543416	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.01886	0.684972386	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.00983	0.975101235	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.16696	0.585896064	3.582163088	2.529822128
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.07345	0.235086326	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.13869	0.348547701	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.18779	2.04627462	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.03753	2.154081298	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.19929	2.223767407	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.13867	0.553481076	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.12488	0.903230733	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.17838	1.755619591	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.18140	1.200835864	3.15748	3.16227766
BP	GO:0050688	regulation of defense response to virus	10	AUG_V2A.18778	1.008820338	3.15748	3.16227766
BP	GO:0009615	response to virus	20	AUG_V2A.07345	0.235086326	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.13869	0.348547701	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.24164	1.254220119	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.18804	0.521369604	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.15588	-1.081411657	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.03221	1.653536936	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.12144	1.552556721	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.17119	1.020270176	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.23797	1.170319065	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.09093	0.688922593	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.01783	0.975539335	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.20671	1.811410942	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.18779	2.04627462	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.03753	2.154081298	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.19929	2.223767407	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.13867	0.553481076	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.12488	0.903230733	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.17838	1.755619591	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.18140	1.200835864	3.00266736	4.024922359
BP	GO:0009615	response to virus	20	AUG_V2A.18778	1.008820338	3.00266736	4.024922359
BP	GO:2000781	positive regulation of double-strand break repair	6	AUG_V2A.09078	0.845650218	3.00266736	2.449489743
BP	GO:2000781	positive regulation of double-strand break repair	6	AUG_V2A.18779	2.04627462	3.00266736	2.449489743
BP	GO:2000781	positive regulation of double-strand break repair	6	AUG_V2A.12488	0.903230733	3.00266736	2.449489743
BP	GO:2000781	positive regulation of double-strand break repair	6	AUG_V2A.17838	1.755619591	3.00266736	2.449489743
BP	GO:2000781	positive regulation of double-strand break repair	6	AUG_V2A.18140	1.200835864	3.00266736	2.449489743
BP	GO:2000781	positive regulation of double-strand break repair	6	AUG_V2A.18778	1.008820338	3.00266736	2.449489743
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.23344	0.875240406	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.23394	0.666422985	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.22946	0.679883191	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.22548	0.460481269	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.18779	2.04627462	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.12488	0.903230733	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.17838	1.755619591	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.15949	0.326991691	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.18140	1.200835864	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.18778	1.008820338	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.01886	0.684972386	2.771970182	2.886751346
BP	GO:0006513	protein monoubiquitination	12	AUG_V2A.23759	-0.448719014	2.771970182	2.886751346
BP	GO:0034097	response to cytokine	32	AUG_V2A.13869	0.348547701	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.06366	-0.397406826	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.21193	-0.685718481	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.03221	1.653536936	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.21289	1.882807513	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.13264	2.079556078	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.07632	2.254382473	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.10065	0.772703836	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.07985	1.056320556	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.08409	1.080248768	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.07665	1.104066475	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.03765	2.760077735	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.17189	-0.280963392	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.11509	1.643904909	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.14033	0.910243875	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.11065	0.304497379	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.16628	1.745783176	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.03753	2.154081298	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.19929	2.223767407	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.13867	0.553481076	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.16670	2.215543416	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.10996	-1.183034711	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.11153	-0.840537619	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.08805	-0.625634506	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.01297	-1.146973497	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.01259	-0.573658215	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.21060	1.084356801	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.20485	0.555268117	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.01886	0.684972386	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.10893	0.73149962	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.14805	0.43743541	2.771970182	2.828427125
BP	GO:0034097	response to cytokine	32	AUG_V2A.00983	0.975101235	2.771970182	2.828427125
BP	GO:0051607	defense response to virus	17	AUG_V2A.07345	0.235086326	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.13869	0.348547701	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.24164	1.254220119	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.15588	-1.081411657	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.03221	1.653536936	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.12144	1.552556721	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.09093	0.688922593	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.01783	0.975539335	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.20671	1.811410942	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.18779	2.04627462	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.03753	2.154081298	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.19929	2.223767407	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.13867	0.553481076	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.12488	0.903230733	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.17838	1.755619591	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.18140	1.200835864	2.703862864	3.638034376
BP	GO:0051607	defense response to virus	17	AUG_V2A.18778	1.008820338	2.703862864	3.638034376
BP	GO:0016246	RNA interference	8	AUG_V2A.00902	0.484078264	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.24748	0.505481042	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.12144	1.552556721	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.17119	1.020270176	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.23797	1.170319065	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.09093	0.688922593	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.19226	1.091068062	2.664108423	2.828427125
BP	GO:0016246	RNA interference	8	AUG_V2A.17238	0.872093345	2.664108423	2.828427125
BP	GO:0033523	histone H2B ubiquitination	5	AUG_V2A.18779	2.04627462	2.664108423	2.236067977
BP	GO:0033523	histone H2B ubiquitination	5	AUG_V2A.12488	0.903230733	2.664108423	2.236067977
BP	GO:0033523	histone H2B ubiquitination	5	AUG_V2A.17838	1.755619591	2.664108423	2.236067977
BP	GO:0033523	histone H2B ubiquitination	5	AUG_V2A.18140	1.200835864	2.664108423	2.236067977
BP	GO:0033523	histone H2B ubiquitination	5	AUG_V2A.18778	1.008820338	2.664108423	2.236067977
BP	GO:1902946	protein localization to early endosome	5	AUG_V2A.18779	2.04627462	2.664108423	2.236067977
BP	GO:1902946	protein localization to early endosome	5	AUG_V2A.12488	0.903230733	2.664108423	2.236067977
BP	GO:1902946	protein localization to early endosome	5	AUG_V2A.17838	1.755619591	2.664108423	2.236067977
BP	GO:1902946	protein localization to early endosome	5	AUG_V2A.18140	1.200835864	2.664108423	2.236067977
BP	GO:1902946	protein localization to early endosome	5	AUG_V2A.18778	1.008820338	2.664108423	2.236067977
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	5	AUG_V2A.18779	2.04627462	2.664108423	2.236067977
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	5	AUG_V2A.12488	0.903230733	2.664108423	2.236067977
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	5	AUG_V2A.17838	1.755619591	2.664108423	2.236067977
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	5	AUG_V2A.18140	1.200835864	2.664108423	2.236067977
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	5	AUG_V2A.18778	1.008820338	2.664108423	2.236067977
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.13869	0.348547701	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.21193	-0.685718481	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.21289	1.882807513	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.13264	2.079556078	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.07632	2.254382473	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.10065	0.772703836	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.07985	1.056320556	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.08409	1.080248768	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.07665	1.104066475	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.03765	2.760077735	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.17189	-0.280963392	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.11509	1.643904909	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.11065	0.304497379	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.16628	1.745783176	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.03753	2.154081298	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.19929	2.223767407	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.13867	0.553481076	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.16670	2.215543416	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.10996	-1.183034711	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.11153	-0.840537619	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.08805	-0.625634506	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.01297	-1.146973497	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.01259	-0.573658215	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.20485	0.555268117	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.01886	0.684972386	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.10893	0.73149962	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.14805	0.43743541	2.507720254	2.645751311
BP	GO:0071345	cellular response to cytokine stimulus	28	AUG_V2A.00983	0.975101235	2.507720254	2.645751311
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.13869	0.348547701	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.21289	1.882807513	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.13264	2.079556078	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.07632	2.254382473	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.03765	2.760077735	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.17189	-0.280963392	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.11509	1.643904909	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.16628	1.745783176	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.03753	2.154081298	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.19929	2.223767407	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.13867	0.553481076	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.16670	2.215543416	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.10996	-1.183034711	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.11153	-0.840537619	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.08805	-0.625634506	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.01297	-1.146973497	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.20485	0.555268117	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.14805	0.43743541	2.468312416	2.064741605
BP	GO:0019221	cytokine-mediated signaling pathway	19	AUG_V2A.00983	0.975101235	2.468312416	2.064741605
BP	GO:0030422	production of siRNA involved in RNA interference	6	AUG_V2A.24748	0.505481042	2.161416854	2.449489743
BP	GO:0030422	production of siRNA involved in RNA interference	6	AUG_V2A.12144	1.552556721	2.161416854	2.449489743
BP	GO:0030422	production of siRNA involved in RNA interference	6	AUG_V2A.17119	1.020270176	2.161416854	2.449489743
BP	GO:0030422	production of siRNA involved in RNA interference	6	AUG_V2A.23797	1.170319065	2.161416854	2.449489743
BP	GO:0030422	production of siRNA involved in RNA interference	6	AUG_V2A.09093	0.688922593	2.161416854	2.449489743
BP	GO:0030422	production of siRNA involved in RNA interference	6	AUG_V2A.19226	1.091068062	2.161416854	2.449489743
BP	GO:0002230	positive regulation of defense response to virus by host	5	AUG_V2A.18779	2.04627462	2.133463855	2.236067977
BP	GO:0002230	positive regulation of defense response to virus by host	5	AUG_V2A.12488	0.903230733	2.133463855	2.236067977
BP	GO:0002230	positive regulation of defense response to virus by host	5	AUG_V2A.17838	1.755619591	2.133463855	2.236067977
BP	GO:0002230	positive regulation of defense response to virus by host	5	AUG_V2A.18140	1.200835864	2.133463855	2.236067977
BP	GO:0002230	positive regulation of defense response to virus by host	5	AUG_V2A.18778	1.008820338	2.133463855	2.236067977
BP	GO:2000644	regulation of receptor catabolic process	5	AUG_V2A.18779	2.04627462	2.133463855	2.236067977
BP	GO:2000644	regulation of receptor catabolic process	5	AUG_V2A.12488	0.903230733	2.133463855	2.236067977
BP	GO:2000644	regulation of receptor catabolic process	5	AUG_V2A.17838	1.755619591	2.133463855	2.236067977
BP	GO:2000644	regulation of receptor catabolic process	5	AUG_V2A.18140	1.200835864	2.133463855	2.236067977
BP	GO:2000644	regulation of receptor catabolic process	5	AUG_V2A.18778	1.008820338	2.133463855	2.236067977
BP	GO:0051444	negative regulation of ubiquitin-protein transferase activity	5	AUG_V2A.18779	2.04627462	1.977108422	2.236067977
BP	GO:0051444	negative regulation of ubiquitin-protein transferase activity	5	AUG_V2A.12488	0.903230733	1.977108422	2.236067977
BP	GO:0051444	negative regulation of ubiquitin-protein transferase activity	5	AUG_V2A.17838	1.755619591	1.977108422	2.236067977
BP	GO:0051444	negative regulation of ubiquitin-protein transferase activity	5	AUG_V2A.18140	1.200835864	1.977108422	2.236067977
BP	GO:0051444	negative regulation of ubiquitin-protein transferase activity	5	AUG_V2A.18778	1.008820338	1.977108422	2.236067977
BP	GO:0036010	protein localization to endosome	5	AUG_V2A.18779	2.04627462	1.896030732	2.236067977
BP	GO:0036010	protein localization to endosome	5	AUG_V2A.12488	0.903230733	1.896030732	2.236067977
BP	GO:0036010	protein localization to endosome	5	AUG_V2A.17838	1.755619591	1.896030732	2.236067977
BP	GO:0036010	protein localization to endosome	5	AUG_V2A.18140	1.200835864	1.896030732	2.236067977
BP	GO:0036010	protein localization to endosome	5	AUG_V2A.18778	1.008820338	1.896030732	2.236067977
BP	GO:0050691	regulation of defense response to virus by host	5	AUG_V2A.18779	2.04627462	1.896030732	2.236067977
BP	GO:0050691	regulation of defense response to virus by host	5	AUG_V2A.12488	0.903230733	1.896030732	2.236067977
BP	GO:0050691	regulation of defense response to virus by host	5	AUG_V2A.17838	1.755619591	1.896030732	2.236067977
BP	GO:0050691	regulation of defense response to virus by host	5	AUG_V2A.18140	1.200835864	1.896030732	2.236067977
