GID	SYMBOL	GENENAME
aug_v2a.01381	aug_v2a.01381	Putative hsp90 co-chaperone cpr7/cyclophilin (Fragment)
aug_v2a.20788	aug_v2a.20788	Uncharacterized protein
aug_v2a.11188	aug_v2a.11188	Uncharacterized protein
aug_v2a.21889	aug_v2a.21889	Uncharacterized protein
aug_v2a.08173	aug_v2a.08173	Gag-pol fusion polyprotein
aug_v2a.19066	aug_v2a.19066	Uncharacterized protein
aug_v2a.16355	aug_v2a.16355	Uncharacterized protein
aug_v2a.19067	aug_v2a.19067	Uncharacterized protein
aug_v2a.16634	aug_v2a.16634	Uncharacterized protein
aug_v2a.02618	aug_v2a.02618	Uncharacterized protein
aug_v2a.22553	aug_v2a.22553	Putative polyprotein (Fragment)
aug_v2a.00806	aug_v2a.00806	Uncharacterized protein
aug_v2a.22136	aug_v2a.22136	Tick transposon
aug_v2a.01602	aug_v2a.01602	Uncharacterized protein
aug_v2a.02243	aug_v2a.02243	Uncharacterized protein
aug_v2a.22268	aug_v2a.22268	Uncharacterized protein
aug_v2a.02826	aug_v2a.02826	Uncharacterized protein
aug_v2a.02692	aug_v2a.02692	Uncharacterized protein
aug_v2a.00543	aug_v2a.00543	Uncharacterized protein
aug_v2a.21412	aug_v2a.21412	Polyprotein
aug_v2a.22768	aug_v2a.22768	Uncharacterized protein
aug_v2a.02513	aug_v2a.02513	Uncharacterized protein (Fragment)
aug_v2a.03029	aug_v2a.03029	Uncharacterized protein
aug_v2a.19002	aug_v2a.19002	Uncharacterized protein
aug_v2a.22759	aug_v2a.22759	Uncharacterized protein
aug_v2a.01213	aug_v2a.01213	Uncharacterized protein
aug_v2a.14536	aug_v2a.14536	Uncharacterized protein
aug_v2a.15562	aug_v2a.15562	Uncharacterized protein
aug_v2a.22170	aug_v2a.22170	Uncharacterized protein
aug_v2a.21859	aug_v2a.21859	GagPol
aug_v2a.12310	aug_v2a.12310	Uncharacterized protein
aug_v2a.09912	aug_v2a.09912	Uncharacterized protein
aug_v2a.17964	aug_v2a.17964	Uncharacterized protein
aug_v2a.09297	aug_v2a.09297	Uncharacterized protein
aug_v2a.23515	aug_v2a.23515	Uncharacterized protein
aug_v2a.06086	aug_v2a.06086	Uncharacterized protein
aug_v2a.18205	aug_v2a.18205	Uncharacterized protein
aug_v2a.14626	aug_v2a.14626	Uncharacterized protein
aug_v2a.12950	aug_v2a.12950	Uncharacterized protein
aug_v2a.02719	aug_v2a.02719	Uncharacterized protein
aug_v2a.20947	aug_v2a.20947	Uncharacterized protein
aug_v2a.14408	aug_v2a.14408	Pol polyprotein (Fragment)
aug_v2a.06870	aug_v2a.06870	Uncharacterized protein
aug_v2a.02357	aug_v2a.02357	Uncharacterized protein
aug_v2a.17099	aug_v2a.17099	Pol polyprotein
aug_v2a.06859	aug_v2a.06859	Uncharacterized protein
aug_v2a.13796	aug_v2a.13796	Uncharacterized protein
aug_v2a.22037	aug_v2a.22037	Uncharacterized protein
aug_v2a.18894	aug_v2a.18894	Uncharacterized protein
aug_v2a.18823	aug_v2a.18823	Uncharacterized protein
aug_v2a.13077	aug_v2a.13077	Vitellogenin
aug_v2a.17500	aug_v2a.17500	Uncharacterized protein
aug_v2a.20142	aug_v2a.20142	Calmodulin 1 (Fragment)
aug_v2a.01102	aug_v2a.01102	Calmodulin mRNA
aug_v2a.15050	aug_v2a.15050	Uncharacterized protein
aug_v2a.11068	aug_v2a.11068	Skeletal aspartic acid-rich protein 1
aug_v2a.06327	aug_v2a.06327	Skeletal aspartic acid-rich protein 3
aug_v2a.06593	aug_v2a.06593	Skeletal acidic protein 1
aug_v2a.09226	aug_v2a.09226	Skeletal acidic protein 2 (Fragment)
aug_v2a.14284	aug_v2a.14284	CUB domain-containing protein 1
aug_v2a.10941	aug_v2a.10941	CUB domain-containing protein 1
aug_v2a.04566	aug_v2a.04566	CUB domain-containing protein 1
aug_v2a.14283	aug_v2a.14283	CUB domain-containing protein 2 (Fragment)
aug_v2a.15065	aug_v2a.15065	Galaxin2
aug_v2a.12427	aug_v2a.12427	Egg protein-like 1
aug_v2a.00002	aug_v2a.00002	Egg protein-like 1
aug_v2a.22918	aug_v2a.22918	Egg protein-like 1
aug_v2a.13122	aug_v2a.13122	Egg protein-like 1
aug_v2a.18631	aug_v2a.18631	Galaxin
aug_v2a.10266	aug_v2a.10266	Galaxin-like 1
aug_v2a.10237	aug_v2a.10237	Fibroblast growth factor a1
aug_v2a.11796	aug_v2a.11796	Phospholipase A2 isoform 5
aug_v2a.13757	aug_v2a.13757	Triglyceride lipase
aug_v2a.24272	aug_v2a.24272	Triglyceride lipase
aug_v2a.20733	aug_v2a.20733	Uncharacterized protein
aug_v2a.06514	aug_v2a.06514	Uncharacterized protein
aug_v2a.09969	aug_v2a.09969	MAM and LDL-receptor domain-containing protein (Fragment)
aug_v2a.18059	aug_v2a.18059	Theromacin
aug_v2a.02137	aug_v2a.02137	Uncharacterized protein
aug_v2a.12311	aug_v2a.12311	Cytotoxin A isoform 2 (Fragment)
aug_v2a.07747	aug_v2a.07747	EphrinB-like protein (Fragment)
aug_v2a.23166	aug_v2a.23166	Uncharacterized protein
aug_v2a.11195	aug_v2a.11195	Uncharacterized protein
aug_v2a.03040	aug_v2a.03040	Uncharacterized protein
aug_v2a.03041	aug_v2a.03041	Uncharacterized protein
aug_v2a.03069	aug_v2a.03069	Uncharacterized protein
aug_v2a.10044	aug_v2a.10044	Flavin-containing monooxygenase
aug_v2a.04154	aug_v2a.04154	Stonustoxin subunit alpha
aug_v2a.18252	aug_v2a.18252	Uncharacterized protein
aug_v2a.06761	aug_v2a.06761	C-type lectin
aug_v2a.12127	aug_v2a.12127	Mini-collagen
aug_v2a.11182	aug_v2a.11182	Uncharacterized protein
aug_v2a.08106	aug_v2a.08106	Uncharacterized protein
aug_v2a.04538	aug_v2a.04538	Uncharacterized protein (Fragment)
aug_v2a.17022	aug_v2a.17022	Uncharacterized protein
aug_v2a.02836	aug_v2a.02836	Collagen alpha-1(XXIV) chain
aug_v2a.13458	aug_v2a.13458	Uncharacterized protein
aug_v2a.10448	aug_v2a.10448	Uncharacterized protein
aug_v2a.14511	aug_v2a.14511	Uncharacterized protein
aug_v2a.23198	aug_v2a.23198	Putative Laminin subunit alpha-3
aug_v2a.00019	aug_v2a.00019	Triglyceride lipase
aug_v2a.03556	aug_v2a.03556	Triglyceride lipase
aug_v2a.00020	aug_v2a.00020	Triglyceride lipase
aug_v2a.09322	aug_v2a.09322	Triglyceride lipase
aug_v2a.09961	aug_v2a.09961	Triglyceride lipase
aug_v2a.03848	aug_v2a.03848	Rho GTPase 1
aug_v2a.21868	aug_v2a.21868	SoxB1
aug_v2a.19687	aug_v2a.19687	Ferritin
aug_v2a.08334	aug_v2a.08334	SoxBa (Fragment)
aug_v2a.21655	aug_v2a.21655	Uncharacterized protein
aug_v2a.00039	aug_v2a.00039	Kruppel like factor 7-like protein
aug_v2a.16701	aug_v2a.16701	Putative alcohol dehydrogenase transcription factor myb/sant-like protein (Fragment)
aug_v2a.01835	aug_v2a.01835	Uncharacterized protein
aug_v2a.03643	aug_v2a.03643	Tigger transposable element-derived protein 7
aug_v2a.23415	aug_v2a.23415	SoxF
aug_v2a.01515	aug_v2a.01515	Uncharacterized protein
aug_v2a.08519	aug_v2a.08519	Snail-2
aug_v2a.04218	aug_v2a.04218	Twist
aug_v2a.01257	aug_v2a.01257	POU domain protein (Fragment)
aug_v2a.13841	aug_v2a.13841	Putative gypsy58-i dr (Fragment)
aug_v2a.09369	aug_v2a.09369	Putative tick transposon (Fragment)
aug_v2a.11336	aug_v2a.11336	Uncharacterized protein
aug_v2a.22608	aug_v2a.22608	Uncharacterized protein
aug_v2a.23583	aug_v2a.23583	Uncharacterized protein
aug_v2a.10389	aug_v2a.10389	Nuclear receptor AmNR6
aug_v2a.04233	aug_v2a.04233	Nuclear receptor AmNR2
aug_v2a.02467	aug_v2a.02467	POU domain protein (Fragment)
aug_v2a.02011	aug_v2a.02011	Uncharacterized protein (Fragment)
aug_v2a.15162	aug_v2a.15162	Uncharacterized protein
aug_v2a.06580	aug_v2a.06580	Uncharacterized protein
aug_v2a.05894	aug_v2a.05894	Pax-D2
aug_v2a.05895	aug_v2a.05895	Pax-D2
aug_v2a.15836	aug_v2a.15836	Uncharacterized protein
aug_v2a.15457	aug_v2a.15457	Uncharacterized protein
aug_v2a.18571	aug_v2a.18571	Uncharacterized protein
aug_v2a.18008	aug_v2a.18008	Uncharacterized protein
aug_v2a.14037	aug_v2a.14037	Uncharacterized protein
aug_v2a.22412	aug_v2a.22412	Transcription factor COE1 (Fragment)
aug_v2a.24081	aug_v2a.24081	Neuron navigator 2b
aug_v2a.17601	aug_v2a.17601	Lysine-specific histone demethylase 1B
aug_v2a.00960	aug_v2a.00960	HNF-HNF class homeobox protein
aug_v2a.09658	aug_v2a.09658	Nuclear receptor Amtll
aug_v2a.12156	aug_v2a.12156	Zinc finger Ran-binding domain-containing protein 2
aug_v2a.12530	aug_v2a.12530	Uncharacterized protein
aug_v2a.03940	aug_v2a.03940	Uncharacterized protein
aug_v2a.15671	aug_v2a.15671	Uncharacterized protein
aug_v2a.12609	aug_v2a.12609	Uncharacterized protein
aug_v2a.08041	aug_v2a.08041	WD40/YVTN repeat-like-containing domain
aug_v2a.15593	aug_v2a.15593	Uncharacterized protein
aug_v2a.12283	aug_v2a.12283	Putative transcription elongation factor a protein 1 (Fragment)
aug_v2a.20274	aug_v2a.20274	Bystin-like
aug_v2a.08820	aug_v2a.08820	Uncharacterized protein
aug_v2a.01535	aug_v2a.01535	Putative o-sialoglycoprotein endopeptidase o-sialoglycoprotein endopeptidase (Fragment)
aug_v2a.14588	aug_v2a.14588	Uncharacterized protein
aug_v2a.09107	aug_v2a.09107	S-(hydroxymethyl)glutathione dehydrogenase
aug_v2a.12288	aug_v2a.12288	S-(hydroxymethyl)glutathione dehydrogenase
aug_v2a.18269	aug_v2a.18269	Polyprotein
aug_v2a.24718	aug_v2a.24718	Caspase-X
aug_v2a.00817	aug_v2a.00817	Caspase-X
aug_v2a.20551	aug_v2a.20551	Caspase-X
aug_v2a.10651	aug_v2a.10651	Caspase-X
aug_v2a.11989	aug_v2a.11989	Caspase 3-like protein
aug_v2a.11089	aug_v2a.11089	Histidine ammonia-lyase
aug_v2a.12130	aug_v2a.12130	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
aug_v2a.17576	aug_v2a.17576	Piwi 2
aug_v2a.14152	aug_v2a.14152	Uncharacterized protein
aug_v2a.00164	aug_v2a.00164	Uro-adherence factor A
aug_v2a.07020	aug_v2a.07020	Uncharacterized protein
aug_v2a.08734	aug_v2a.08734	Uncharacterized protein
aug_v2a.01012	aug_v2a.01012	Elongation factor 2
aug_v2a.24388	aug_v2a.24388	UPF0172 protein FAM158A
aug_v2a.09268	aug_v2a.09268	Polyprotein
aug_v2a.07014	aug_v2a.07014	Uncharacterized protein
aug_v2a.02976	aug_v2a.02976	Retrovirus-related Pol polyprotein from
aug_v2a.01252	aug_v2a.01252	Uncharacterized protein
aug_v2a.13486	aug_v2a.13486	Uncharacterized protein
aug_v2a.00186	aug_v2a.00186	Uncharacterized protein (Fragment)
aug_v2a.00511	aug_v2a.00511	Putative retrotransposon-like family member retr-1-like protein (Fragment)
aug_v2a.16340	aug_v2a.16340	Uncharacterized protein
aug_v2a.17682	aug_v2a.17682	Putative Ral GTPase-activating protein subunit alpha-1
aug_v2a.15238	aug_v2a.15238	Cyclin-dependent kinase-like 1 (CDC2-related kinase)
aug_v2a.20399	aug_v2a.20399	Uncharacterized protein
aug_v2a.21621	aug_v2a.21621	COMM domain-containing protein 4
aug_v2a.05155	aug_v2a.05155	14-3-3 protein
aug_v2a.02187	aug_v2a.02187	Serine/threonine-protein phosphatase
aug_v2a.14564	aug_v2a.14564	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
aug_v2a.23713	aug_v2a.23713	DEAD-box protein (Fragment)
aug_v2a.00267	aug_v2a.00267	SoxC
aug_v2a.18081	aug_v2a.18081	Ubiquitin carboxyl-terminal hydrolase 10 (Fragment)
aug_v2a.01300	aug_v2a.01300	Uncharacterized protein
aug_v2a.11894	aug_v2a.11894	Uncharacterized protein
aug_v2a.02416	aug_v2a.02416	Phosphoserine aminotransferase
aug_v2a.14734	aug_v2a.14734	Uncharacterized protein
aug_v2a.06815	aug_v2a.06815	Uncharacterized protein (Fragment)
aug_v2a.18263	aug_v2a.18263	Uncharacterized protein
aug_v2a.16311	aug_v2a.16311	DNA-binding protein inhibitor ID-2-like protein
aug_v2a.11988	aug_v2a.11988	Caspase 3-like protein
aug_v2a.10766	aug_v2a.10766	Ubiquitin protein ligase E3 component n-recognin 5
aug_v2a.17390	aug_v2a.17390	Casein kinase (Fragment)
aug_v2a.11803	aug_v2a.11803	Casein kinase II subunit alpha (Fragment)
aug_v2a.08211	aug_v2a.08211	ABCE1
aug_v2a.20890	aug_v2a.20890	Uncharacterized protein (Fragment)
aug_v2a.00012	aug_v2a.00012	Uncharacterized protein
aug_v2a.17058	aug_v2a.17058	Uncharacterized protein
aug_v2a.18010	aug_v2a.18010	Uncharacterized protein
aug_v2a.13800	aug_v2a.13800	Nat13 protein
aug_v2a.16098	aug_v2a.16098	U5 snRNP-specific component DIM1 (Fragment)
aug_v2a.07651	aug_v2a.07651	N-6 adenine-specific DNA methyltransferase 1 (putative)
aug_v2a.04828	aug_v2a.04828	14-3-3 protein
aug_v2a.04201	aug_v2a.04201	Uncharacterized protein (Fragment)
aug_v2a.21207	aug_v2a.21207	Importin subunit beta-1
aug_v2a.03134	aug_v2a.03134	Profilin
aug_v2a.17586	aug_v2a.17586	Uncharacterized protein
aug_v2a.13367	aug_v2a.13367	"Actin, cytoskeletal 2A"
aug_v2a.09988	aug_v2a.09988	Beta-actin
aug_v2a.05332	aug_v2a.05332	Uncharacterized protein
aug_v2a.18926	aug_v2a.18926	"FERM, RhoGEF and pleckstrin domain protein 2"
aug_v2a.17646	aug_v2a.17646	Non-specific serine/threonine protein kinase (Fragment)
aug_v2a.18744	aug_v2a.18744	Tubulin alpha chain
aug_v2a.03002	aug_v2a.03002	Uncharacterized protein (Fragment)
aug_v2a.20295	aug_v2a.20295	Prickle/testin-like protein
aug_v2a.18796	aug_v2a.18796	Ferritin
aug_v2a.18795	aug_v2a.18795	Ferritin
aug_v2a.19688	aug_v2a.19688	Ferritin
aug_v2a.05997	aug_v2a.05997	Glutaredoxin
aug_v2a.04377	aug_v2a.04377	Spastin
aug_v2a.08670	aug_v2a.08670	Uncharacterized protein
aug_v2a.04827	aug_v2a.04827	Uncharacterized protein
aug_v2a.03866	aug_v2a.03866	Uncharacterized protein
aug_v2a.03867	aug_v2a.03867	Uncharacterized protein
aug_v2a.20994	aug_v2a.20994	Cniwi-like (Fragment)
aug_v2a.13833	aug_v2a.13833	Piwi
aug_v2a.02841	aug_v2a.02841	Dna J-like protein 1 (Fragment)
aug_v2a.02842	aug_v2a.02842	Dna J-like protein 1 (Fragment)
aug_v2a.19521	aug_v2a.19521	Nanos 1
aug_v2a.21697	aug_v2a.21697	Nanos 2
aug_v2a.09429	aug_v2a.09429	Ubiquitin-protein ligase E3B-like protein (Fragment)
aug_v2a.10482	aug_v2a.10482	Caspase-X
aug_v2a.00818	aug_v2a.00818	Caspase-X
aug_v2a.04862	aug_v2a.04862	Caspase-X
aug_v2a.13238	aug_v2a.13238	Uncharacterized protein
aug_v2a.16565	aug_v2a.16565	ATP-dependent DNA helicase
aug_v2a.21929	aug_v2a.21929	ATP-dependent DNA helicase
aug_v2a.17148	aug_v2a.17148	Tyrosine aminotransferase
aug_v2a.06677	aug_v2a.06677	Uncharacterized protein
aug_v2a.11945	aug_v2a.11945	Glycerol kinase
aug_v2a.02450	aug_v2a.02450	Uncharacterized protein
aug_v2a.06737	aug_v2a.06737	ATP-dependent DNA helicase
aug_v2a.11285	aug_v2a.11285	Putative mitochondrial import inner membrane translocase
aug_v2a.12351	aug_v2a.12351	Uncharacterized protein
aug_v2a.16277	aug_v2a.16277	Glutamate dehydrogenase
aug_v2a.18994	aug_v2a.18994	Primase and polymerase (DNA-directed)
aug_v2a.15377	aug_v2a.15377	3-hydroxymethyl-3-methylglutaryl-CoA lyase
aug_v2a.07030	aug_v2a.07030	Uncharacterized protein
aug_v2a.03187	aug_v2a.03187	Uncharacterized protein
aug_v2a.12401	aug_v2a.12401	Uncharacterized protein
aug_v2a.12218	aug_v2a.12218	"Solute carrier family 35 (UDP-galactose transporter), member 2"
aug_v2a.11931	aug_v2a.11931	Rab-1
aug_v2a.19128	aug_v2a.19128	DnaJ-like subfamily A member 1-like protein
aug_v2a.05028	aug_v2a.05028	UPF0197 transmembrane protein C11orf10
aug_v2a.07503	aug_v2a.07503	Atlastin 3
aug_v2a.00926	aug_v2a.00926	Eukaryotic translation initiation factor 5A
aug_v2a.01636	aug_v2a.01636	Uncharacterized protein
aug_v2a.01350	aug_v2a.01350	Anoctamin (Fragment)
aug_v2a.09782	aug_v2a.09782	Uncharacterized protein
aug_v2a.02595	aug_v2a.02595	Uncharacterized protein
aug_v2a.02596	aug_v2a.02596	Uncharacterized protein
aug_v2a.09783	aug_v2a.09783	Uncharacterized protein
aug_v2a.21156	aug_v2a.21156	Uncharacterized protein
aug_v2a.16823	aug_v2a.16823	Uncharacterized protein
aug_v2a.05161	aug_v2a.05161	Uncharacterized protein
aug_v2a.21403	aug_v2a.21403	Uncharacterized protein
aug_v2a.12020	aug_v2a.12020	Integrin beta
aug_v2a.09630	aug_v2a.09630	GagPol
aug_v2a.18129	aug_v2a.18129	Uncharacterized protein
aug_v2a.04813	aug_v2a.04813	NAD-dependent protein deacetylase
aug_v2a.14331	aug_v2a.14331	"Myosin heavy chain, non-muscle"
aug_v2a.01324	aug_v2a.01324	Uncharacterized protein
aug_v2a.09361	aug_v2a.09361	17beta hydroxysteroid dehydrogenase type 14
aug_v2a.02025	aug_v2a.02025	Putative ubiquitin-conjugating enzyme
aug_v2a.03844	aug_v2a.03844	Uncharacterized protein
aug_v2a.15906	aug_v2a.15906	Clock (Fragment)
aug_v2a.10255	aug_v2a.10255	Nuclear receptor AmNR7
aug_v2a.12356	aug_v2a.12356	Nuclear receptor AmNR4 isoform A
aug_v2a.23582	aug_v2a.23582	Uncharacterized protein
aug_v2a.08473	aug_v2a.08473	Uncharacterized protein
aug_v2a.15219	aug_v2a.15219	Uncharacterized protein
aug_v2a.09307	aug_v2a.09307	Uncharacterized protein
aug_v2a.14473	aug_v2a.14473	Uncharacterized protein
aug_v2a.13070	aug_v2a.13070	Putative ABCB protein
aug_v2a.08755	aug_v2a.08755	Annexin
aug_v2a.08843	aug_v2a.08843	Uncharacterized protein
aug_v2a.11353	aug_v2a.11353	Uncharacterized protein
aug_v2a.24661	aug_v2a.24661	Ub52
aug_v2a.22417	aug_v2a.22417	Uncharacterized protein
aug_v2a.22416	aug_v2a.22416	Uncharacterized protein
aug_v2a.05122	aug_v2a.05122	Transposase
aug_v2a.11708	aug_v2a.11708	Alpha o G protein
aug_v2a.16514	aug_v2a.16514	Ribosomal protein L34
aug_v2a.21938	aug_v2a.21938	S13
aug_v2a.11969	aug_v2a.11969	Putative Eukaryotic translation initiation factor 2 subunit (Fragment)
aug_v2a.11967	aug_v2a.11967	Eukaryotic translation initiation factor 3 subunit I
aug_v2a.20645	aug_v2a.20645	Uncharacterized protein
aug_v2a.13506	aug_v2a.13506	Cytovec
aug_v2a.05425	aug_v2a.05425	Sodium channel protein
aug_v2a.03789	aug_v2a.03789	Sodium channel protein
aug_v2a.10707	aug_v2a.10707	ELK
aug_v2a.12331	aug_v2a.12331	Uncharacterized protein
aug_v2a.17267	aug_v2a.17267	Uncharacterized protein
aug_v2a.11105	aug_v2a.11105	Alpha q G protein
aug_v2a.08191	aug_v2a.08191	Uncharacterized protein
aug_v2a.03757	aug_v2a.03757	Uncharacterized protein
aug_v2a.23416	aug_v2a.23416	Uncharacterized protein
aug_v2a.17508	aug_v2a.17508	Uncharacterized protein
aug_v2a.10515	aug_v2a.10515	Soluble adenylyl cyclase (Fragment)
aug_v2a.17950	aug_v2a.17950	Uncharacterized protein
aug_v2a.16586	aug_v2a.16586	Uncharacterized protein
aug_v2a.13522	aug_v2a.13522	Fibroblast growth factor 1D (Fragment)
aug_v2a.10236	aug_v2a.10236	Fibroblast growth factor 1B (Fragment)
aug_v2a.15804	aug_v2a.15804	Type-1 angiotensin II receptor-associated protein (Fragment)
aug_v2a.01577	aug_v2a.01577	Putative gtp-binding adp-ribosylation factor-like protein arl1
aug_v2a.12368	aug_v2a.12368	Putative pyrophosphate-dependent phosphofructo-1-kinase (Fragment)
aug_v2a.15454	aug_v2a.15454	Putative pyrophosphate-dependent phosphofructo-1-kinase (Fragment)
aug_v2a.20231	aug_v2a.20231	Uncharacterized protein
aug_v2a.23667	aug_v2a.23667	Chromoprotein 580
aug_v2a.14505	aug_v2a.14505	GFP-like chromoprotein
aug_v2a.10614	aug_v2a.10614	Integrin alpha 1
