GenBank Nucleotide Accession	GenBank Protein Accession
NM_145004	AAQ89099; AEE60926; XP_016868677; XP_024302860; BAD92927; AAH30014; XP_011542735; XP_016868676; NP_659441; AAH28702; AAH30698; XP_016868674; NP_001300923; BAC85489; BAG36592; XP_006716361; XP_006716362; AAH26169; XP_016868672; XP_016868673; EAW63282; Q8TC27; BAG61934; AAH26085; AAH34975; BAC85238; AAO45696; ; XP_011542736; XP_016868675; XP_024302861
NM_138796	NP_620151; ; NP_001362584; EAW93332; AAY33662; XP_011507496; AAH14608; Q96L03; BAC05343; XP_006711228
NM_153359	; AAH08985; Q8IZ63; EAW69147; AAH23278; NP_001127788
BC014479	AAH14479
BG573647	-
NM_080432	-
NM_080655	Q96H12; NP_001185735; ; AAT06738; NP_001185736; EAW58932; NP_542386; NP_001185734; EAW58933; BAG37432; AAH08993
NM_080669	EAW51086; BAB84987; XP_005277843; EAW51088; EAW51085; BAB70789; BAG58679; NP_001229295; ABF47092; EAW51089; Q96NT5; NP_542400; ; CAH05421; EAW51087; CAD89945; AAH10691; XP_016879599
AK074161	BAB84987
NM_138379	; AAH08988; ALQ34290; XP_011532996; Q96H15; XP_016865510; NP_612388; BAG62885; EAW61617; AFO66594; ALQ34291; NP_001140198
NM_173596	; EAW96917; BAG36005; XP_011536500; XP_016874674; XP_016874675; NP_775867; EAW96916; Q6ZMH5; BAD18751; AAH27884; EAW96918; NP_001128667; XP_011536503; XP_005268860; XP_011536501; XP_011536502; BAG60580; XP_016874676
NM_024786	Q9H8X9; BAB14468; XP_024301979; XP_016865361; XP_016865362; XP_016865367; ; AAQ89036; XP_024301978; XP_024301983; XP_024301986; NP_001380421; XP_016865360; XP_024301977; XP_016865359; XP_016865365; XP_024301976; XP_024301981; AAG44728; AAH32000; XP_016865363; XP_016865364; XP_024301984; XP_024301985; NP_079062; EAW52307; XP_016865366; XP_024301980; XP_024301982; CAE91692; XP_016865358
NM_080653	XP_011531454; NP_001358212; Q96A05; XP_016860714; EAX00253; XP_011531450; NP_001358210; ; AAH08981; AAH34808; XP_011531452; XP_011531455; BAC00847; XP_011531451; XP_011531453; AAY14833; BAB71643; AEE61245; NP_001304992; NP_001358211
NM_001132	CAA04792; CAH56313; BAC04933; BAG54393; CAA04793; BAG52327; BAC86848; BAG51729; 
BC034926	AAH34926
NM_017861	EAW53637; Q8TBF5; BAA91233; ; EAW53640; NP_060331; EAW53638; BAG57610; AAH22542; NP_001159776
NM_152774	NP_001353555; ; EAW93716; NP_689987; AAH30104; CAI46055; XP_016867418; XP_016867417; EAW93715; NP_001350491; Q5HYL7; NP_001353556; NP_001353557; EAW93717; NP_001353554
NM_152264	EAW67917; XP_024304530; NP_001121697; NP_689477; AAH19016; XP_006718447; EAW67918; EAW67921; XP_006718446; NP_001317174; XP_006718448; XP_011518768; XP_011518770; EAW67923; XP_016874029; EAW67919; Q96H72; CAH56389; XP_006718444; EAW67920; BAC05365; AAH08853; XP_011518769; XP_011518772; XP_016874030; ; EAW67922; XP_011518771
NM_153274	; XP_016856511; Q8NFU0; NP_695006; AAM76996; AAR99657; AAI01824; XP_016856512; EAX07022; XP_024302135
NM_145025	; Q5TCS8; AAH22031; XP_011533857; NP_001316532; BAG37937; AAI01715; AAI11949; AAI43534; XP_016865877; EAW48336; BAB70945; XP_006715439; XP_011533852; XP_011533856; XP_016865873; XP_016865875; XP_016865876; XP_024302118; EAW48334; EAW48335; XP_011533861; NP_001316531; BAC05368; XP_011533855; XP_016865874; EAW48333; BAD18424; AAH87860; XP_016865878; NP_659462; XP_011533854; XP_011533858; XP_011533860; NP_001138600
NM_032854	BAG53288; AAH64514; NP_001338231; NP_001375362; NP_001375364; NP_001375366; EAW51206; AAG22467; NP_001375365; Q6QEF8; BAG52551; BAG52911; XP_011523689; XP_011523690; XP_011523691; AAQ04660; XP_011523693; NP_001338230; ; EAW51208; BAB55360; XP_024306778; NP_001375367; NP_116243; EAW51205; EAW51207; AAQ04659; XP_011523692; EAW51204; AAS48630; XP_011523688; NP_001375360; NP_001375363
NM_145041	NP_659478; EAW60955; BAB71101; ; BAF83076; BAH13515; NP_001278516; AAI57893; AAI47024; NP_001278515; EAW60954; Q96A25; AAI46977; NP_001278517; CAC33297; AAI46975; BAH13184; AAH12139
NM_032834	BAB55272; BAF85177; AAH70347; AAH90948; XP_024304999; CAC41349; XP_024304998; Q5BKT4; ; NP_116223; EAW88508
BC033730	BAB55272; BAF85177; AAH70347; AAH90948; XP_024304999; CAC41349; XP_024304998; Q5BKT4; ; NP_116223; EAW88508
NM_153211	; XP_006722455; EAX01169; AAI21035; NP_001230354; EAX01170; EAX01171; BAC03578; BAH12356; NP_694943; XP_016881039; NP_001278959; AAH32684; AAI21036; XP_011524116; NP_001129465; Q8N584; XP_005258255
NM_144573	Q0ZGT2; AAI14446; ABE97925; AAB28815; XP_005271380; EAX06361; AAQ13658; BAG62401; AAH17827; AAI11396; XP_005271384; NP_653174; AXU40257; ; AAD29607; BAG60759; XP_005271381; AXU40256; EAX06359; EAX06360; EAX06362; XP_005271382; XP_005271379; XP_005271383; NP_001165780; BAB71622; BAG56741; AAO65165; AAH55084; AAI14445; CAI56773
NM_144597	XP_011519515; NP_001153585; AAH19820; ALQ34314; XP_006720448; NP_001153587; EAW62432; BAG35094; XP_011519514; XP_011519516; ALQ34313; NP_001153586; EAW62431; NP_653198; ; Q8WUR7; NP_001153588
NM_032753	NP_116142; NP_001306003; AAH07284; AAP41547; EAW69288; AAH32512; ; Q96IS3; AAH18709
NM_005927	BAA91108; P55082; ; BAG37947; NP_001229265; BAG59113; AAH26244; NP_005918; AAC41753; EAW61645; NP_001128509
NM_172098	XP_024309755; NP_001269489; EAX07714; XP_006710512; XP_011539301; XP_011539306; BAG58579; BAG60409; XP_011539305; AAH41667; XP_024309781; CAA07814; BAG64663; AAH29500; XP_024309782; BAF82494; ; CAA71311; EAX07713; Q99504; AAB42066; XP_024309763; XP_011539303; NP_001269490; NP_001269491; NP_001981
NM_130759	EAW54095; Q8WWP7; BAG37580; BAC03754; AAH40736; NP_570115; EAL24485; ; CAC83740
AK091818	BAC03754
NM_144506	AAT76916; AAT76917; AAT76919; AAT76920; AAT76926; AAT76929; AAT76938; BAA28676; AQM73460; ; AAD29574; AAG23254; AAT76921; AAT76927; AQM73463; AAT76922; AAT76924; AAT76925; AAT76932; AAT76936; EAW71962; AQM73458; AQM73459; NP_001268360; NP_653090; ACB05869; NP_009127; AAT76918; AAT76923; AAT76928; AAT76931; AAT76933; AAT76935; EAW71964; BAA28673; AAQ89395; AQM73464; AAF79144; AAT76914; AAT76915; AAT76934; AAT76937; BAA88684; EAW71963; O60259; BAA82665; BAA82666; AAD25979; ACB05870; AQM73461; AQM73462; AQX83413; NP_653088; AAF79145; AAG33361; AAT76913; AAT76930; AQM73465; NP_653089
NM_033124	EAW58021; BAG63469; NP_001273886; AAH39317; AAK60542; NP_149115; BAC04035; BAG37189; Q8IXS2; ; EAW58020; BAC05324
NM_138819	EAX11746; EAX11748; XP_011529601; XP_024308111; NP_001164251; NP_001352672; NP_001375369; NP_620174; XP_011529600; XP_011529603; XP_011529608; NP_001375371; NP_001375372; EAX11745; BAG58408; AAH17868; NP_001164253; NP_001352675; NP_001352677; ; XP_011529597; XP_011529599; NP_001164252; NP_001352674; NP_001352676; NP_001375373; NP_001375374; NP_001375378; AAH63491; XP_005262443; XP_006724798; XP_011529604; XP_011529607; XP_016884797; XP_016884798; NP_001164255; NP_001352673; NP_001375375; EAX11747; AAH65225; XP_011529598; NP_001164254; NP_001375370; NP_001375377; XP_005262440; NP_001375376; Q6P4D5; BAG52195; XP_005262439; XP_005262441; NP_001164250
NM_145020	EAW62961; BAB71418; AAH30606; ; Q96M91; EAW62960; XP_024306868; BAG63493; NP_659457
NM_152583	BAC04910; BAF85232; NP_001243084; ; EAX02868; EAX02869; EAX02870; Q5H9R4; CCQ43981; EAX02872; BAG54416; CAI45960; EAX02873; EAX02871
BC029352	AAH29352
NM_145039	; B2RD01; NP_659476; BAG37748
NM_138632	EAW60181; EAW60183; EAW60186; CAD28497; NP_001034230; AQN67647; NP_008963; AAG44841; ; AAH03618; NP_619538; BAA34800; AAH04303; ABB59559; EAW60184; EAW60185; Q9H2D6; EAW60182; AAH13278; ABB59560; ABB59561
BG571343	-
NM_053054	EAW74489; ; AAH32950; AAH36522; NP_444282; EAW74488; AAL14105; Q8NEC5
NM_014621	AAH74797; NP_055436; CAA28411; EAX11086; P09016; BAG36610; XP_005246571; ; AAH16763; CAA35237
AY177407	AAO18645
NM_152860	NP_001166938; NP_001287766; EAW96695; AAO33377; EAW96697; Q8TDD2; BAG54688; AAN85556; XP_011536202; AAL84281; NP_690599; ; EAW96696; AAN85557; AAI01550; AAI13614
NM_002604	; EAW86883; BAF83490; BAF85369; NP_001229247; CAD29836; AAK57640; CAV30707; EAW86884; XP_011515842; EAW86885; CBX54287; Q13946; AAB65772; CBX54286; CDL93463; CDL96991; EAW86886; AAI26361; XP_016869027; AAP31236; NP_002594
NM_054026	EAW63820; EAW63823; BAG51197; AAP35331; NP_001309021; EAW63822; BAG50869; NP_001309017; NP_001309018; NP_001309020; NP_001309025; NP_001309027; EAW63821; NP_001309022; NP_001309023; NP_001309024; AAP97145; AAH07315; AAH70187; AAF01500; NP_001309026; AAH60852; XP_005273538; NP_001309019; NP_001309028; NP_473367; ; Q9UIV1; BAG51053; NP_001309029; CAE90224; NP_001309016; NP_037486
NM_145311	; AAH22827; AAH33023; BAA91605; NP_665857; AAD20219; AAH13155; O95825; AAD22381; BAG51939; BAG38068
NM_152891	NP_690851; EAW85470; Q8NF86; NP_001372391; CAD83828; EAW85469; AAN04055; AAH36846; NP_001372393; CAL31934; AAH62334; ; NP_001372392
NM_152769	XP_016882051; NP_001380847; EAW69535; EAW69536; XP_016882044; XP_016882050; XP_016882045; XP_016882046; ; XP_016882047; NP_689982; Q8N350; AAH28156; EAW69537; AAC04305; XP_016882048; XP_016882049
AL833526	EAW86923; Q4G0Z9; CAD97790; XP_006716496; XP_011515771; BAG64136; XP_006716490; NP_001129633; BAC05333; AAH34576; XP_011515770; XP_024302846; NP_001129632; BAG63536; BAG65055; XP_005251231; XP_006716492; XP_016868629; EAW86921; ; EAW86922; XP_011515769; NP_775789; BAG63905; AAH63108
NM_052887	AAL05627; NP_001034750; NP_683708; ; BAG35965; AAT90417; AAT90418; NP_001305705; P58753; AAT90419; AAH32474; EAW67689; NP_001305706; AAL05036; BAG54027; AAP31973; EAW67688; AAL01160; EAW67687; BAG55254
NM_052971	; CAC51306; CAC51516; AAH70199; NP_443203; EAW62306; Q969E1; AAL14242; EAW62307; CAC51515
BC001526	AAH01526
NM_033128	AAH21090; AAK60494; NP_001106177; EAW93648; BAC11465; AAD15423; XP_024302748; ; EAW93645; Q9Y6U3; NP_149119; EAW93646; EAW93647; BAC11416; AAS07450; BAB55361; BAF83052; BAB67798
AF276507	AAK60494
NM_080618	AAI37484; ABH10096; NP_001255974; NP_001373924; NP_001373926; EAW75517; BAG54626; ABH10100; NP_001255972; NP_001255983; BAG36702; AAL61541; ABH10103; ABH10104; ABH10108; NP_001255978; AAI30487; AAI37483; ABH10090; ABH10107; ABH10109; NP_001255970; NP_001255976; NP_001255977; ABB92839; ABH10095; ABH10101; ABH10113; NP_001255979; NP_001255980; NP_542185; ABH10092; ABH10093; ABH10094; ABH10106; NP_001255975; EAW75516; Q8NI51; ABH10097; ABH10098; ABH10099; ABH10105; ABH10110; ABH10111; ABH10112; NP_001255971; NP_001255973; NP_001373922; NP_001373925; ; EAW75518; AAM28645; ABH10091; ABH10102; NP_001255969; NP_001255981; NP_001255984; NP_001373923
NM_173487	EAX05164; BAC03568; CAD98044; XP_016863211; XP_016863212; NP_775758; XP_016863213; EAX05166; AAH16358; NP_001093253; EAX05161; EAX05162; ; EAX05163; EAX05165; Q8N1A6; AAH32582; XP_005262791
BC016358	AAH16358
NM_032433	AAM15528; XP_011526669; XP_024307508; CAI56712; XP_011526667; NP_001287841; NP_001339169; ; EAW84442; XP_011526664; XP_011526670; XP_016882856; XP_016882858; XP_024307509; NP_001339168; NP_001339172; BAG52992; BAF84160; AAH48107; NP_001339173; NP_115809; EAW84443; XP_011526671; NP_001339170; Q96JL9; XP_016882859; AAH64571; XP_011526665; XP_011526673; BAB47435; BAG52800
NM_145301	NP_660344; Q96ET8; AAH11952; NP_001128508; 
NM_172037	AAN64747; AAQ88637; AAH67131; NP_742034; CBX51381; Q8IZV5; ; CBX47522; EAW87001; EAW87002
BG677577	-
NM_080743	NP_542781; EAW48561; EAW48562; BAG53879; AAL57515; XP_016865781; ; BAG36719; NP_001363826; AAH21715; Q8WXF0; XP_011533785; NP_001363825; NP_001363827
NM_153606	BAG51906; EAW93382; CCQ43882; Q8IYT1; NP_705834; ; BAG63389; BAG37511; AAH35007; AEE61219
NM_152687	EAW54975; BAC03557; AAH63534; NP_001291357; CAC38692; NP_689900; EAW54974; NP_001291358; CAD48812; Q8N292; ; NP_001291360
NM_152514	EAW73301; AAH47916; EAW73297; AAI27264; EAW73298; EAW73295; EAW73296; Q8IWY4; BAC87098; ; NP_766638; EAW73299; EAW73300; EAW73302; AAN77133
NM_173549	EAW91772; Q6P6B1; ; AAH62359; BAC04880; EAW91773; NP_775820; NP_001164277
NM_152610	AAH31066; NP_689823; AAH30026; ; EAW93256; Q8N715; BAC04033
NM_152512	CAG30338; XP_006724213; BAC04075; XP_006724212; NP_689725; ; XP_011528232; XP_011528233; EAW60352; BAB71688; EAW60354; AAH33895; XP_006724214; XP_006724216; EAW60353; Q8IYW4; XP_011528229; XP_011528230
NM_052841	EAX07531; EAX07532; XP_024305809; ; NP_443073; AAH35354; AAK97141; Q96PN8; AAL02128
NM_080827	NP_543017; AAN03684; AAI01605; EAW75833; Q9BQY6; AAI01601; EAW75835; ACV87192; ; ADO22168; EAW75834
NM_138337	BAG36713; AAS00607; AAI26290; XP_011518875; NP_001193939; NP_001287659; AAS00606; EAW96132; CBX47387; AAI26292; ; Q5QGZ9; AAR84594; NP_963917; AAT11783; XP_006719099; XP_011518873; EAW96133; XP_006719098; NP_612210; CAI45358; AAL95693; AAS00605; AAH63424; XP_006719096; XP_005253381; XP_011518872
NM_145696	Q92994; AAI03862; AAI33656; AAC50170; XP_005267618; NP_001510; EAW81906; EAW81911; AAI03861; XP_011534975; NP_001229717; NP_001229718; NP_663718; ; EAW81909; CAC04514; AAH16743; XP_011534974; NP_001229719; BAC86024; AAI03860; CAC04513; AAH71637; AAH86856; AAB38876; EAW81910; BAG54064; XP_005267620; BAG58477; NP_001229715; NP_001229716; EAW81908; EAW81907; EAW81912; CAC04512; BAG53298; BAH11919; ACF94480; XP_024305321
NM_152335	EAW99224; AAI04956; BAC04562; Q2M3C6; BAG51435; NP_689548; ; BAB71676; XP_005254217; EAW99225; XP_016877404; XP_016877405; XP_016877406; AAI04954
NM_138332	-
NM_138705	; EAW56146; XP_005244786; AAS67001; AAM08411; NP_619650; EAW56145; EAW56144; Q8TD86; NP_001317242
NM_153447	AAL15549; P59047; AAO18156; NP_703148; 
NM_153007	AAO89569; NP_001306882; EAW90059; Q2M2E3; AAI12015; ; NP_694552; AAI12011; XP_005256533; BAC15594; ACI28935; XP_011521990
NM_173535	EAW99794; AAI39724; AAI44653; XP_011530941; XP_011530942; XP_011530943; XP_011530945; NP_001244956; Q8N1N0; XP_011530944; XP_016859008; XP_011530937; XP_011530940; NP_001308237; BAC04786; BAH13440; ; NP_775806; XP_011530939
NM_152251	AAI00846; Q8N104; AAN33114; AAI00847; AAI00848; AAI10063; NP_689464; ; AAI00845; AAQ09526; BAC10631; AAM93908; AAI11689
NM_147198	Q8NEX5; AAI01657; NP_671731; EAW75826; AAK97772; ; AAH69295; AAI01653
NM_152905	Q8NHV4; BAG64657; AAH27605; EAW97580; XP_006719300; EAW97578; XP_011536206; NP_001128649; EAW97579; XP_005268701; XP_011536207; XP_016874290; XP_016874291; NP_001128647; BAC04099; BAF82747; XP_011536208; NP_690869; ; AAH20799; NP_001128648; EAW97577; BAF98712; XP_011536205; XP_024304603
NM_153254	; XP_011539479; NP_694986; XP_016856396; Q6ZVT0; BAC85781; AAI26155; XP_016856401; EAW56286; AAI26153; XP_016856399; XP_005244795; NP_001358578; BAC04164; XP_016856395; XP_016856398; XP_016856400; EAW56285; XP_016856397; NP_001123517
NM_145046	; CAK18762; AAH14595; AEE60944; AXU41055; Q96L12; BAJ14705; EAW84546; BAB71655; NP_659483
NM_145022	EAW86631; EAW86630; BAB70858; AAI30370; ; Q5T742; AAI30396
NM_005240	BAH14645; AAA60949; NP_001138784; ; P41162; AAK56846; AAH22868; EAW52889; EAW52888; BAG65539; XP_006711273; NP_005231
NM_152467	AAS91792; NP_001316525; NP_689680; BAG63249; ; CBH19337; AEE61015; NP_001316524; EAW60774; BAG63514; Q6JEL2; BAB71387
NM_078474	NP_001294889; NP_510883; ; EAX02313; BAG52963; AAH06150; NP_079417; EAX02314; BAG59176; Q9BRN9; AAK35066; BAG37956; BAG59574; EAX02315; BAB15415; CAC21647; AAH08873; NP_001294955
NM_145312	EAW86606; NP_001305071; ; NP_001305069; BAC11133; NP_001305070; CAF86742; EAW86605; BAG61608; BAG36133; AAH14161; XP_011537800; Q8NCK3; NP_001305072; NP_660355
NM_170710	XP_024309654; NP_001337656; NP_733828; Q8IZU2; XP_016863183; XP_016863186; ; EAX04723; BAC05402; ADO22383; XP_016863175; NP_001365032; NP_001365033; ABD90546; ABD90547; XP_016863178; NP_851782; XP_016863181; AAN64030; XP_016863180; XP_016863182; XP_024309653; NP_001365035; XP_016863179; NP_001365034
BC040487	AAH40487
NM_052836	AAT72166; AAH11570; AAH65284; AAI36977; NP_001165407; NP_071407; EAW54426; EAW54430; EAW54431; AAQ88980; AAI08255; NP_001165406; ; EAW54427; EAW54428; BAB84986; AAT72162; AAT72165; AAI39904; NP_001165403; NP_001165405; EAW54432; Q9H251; BAB61902; BAB47441; AAG27034; AAT72161; AAH32581; NP_001165404; EAW54429; CCQ43681; BAC04231; AAI36978; NP_001165401; NP_001165402; NP_443068; AAG48303; CAB59256
NM_144708	EAX10897; XP_024308487; ; XP_011508978; XP_011508983; XP_011508988; XP_011508989; XP_011508995; XP_016858907; Q7Z5J8; XP_011508979; XP_011508981; XP_011508987; XP_011508994; NP_653309; XP_011508977; XP_011508996; XP_016858902; BAB71684; BAC86425; XP_011508982; XP_011508984; XP_011508991; XP_016858903; XP_016858908; NP_001364997; AAH44907; AAH47413; XP_011508975; XP_016858909; EAX10895; CAD71147; BAC05330; XP_011508990; XP_016858905; XP_024308486; CAE53955; XP_011508993; XP_016858904; XP_016858906
NM_032445	EAW77755; BAB47410; AAI17420; XP_016878161; XP_016878164; NP_001374080; EAW77756; BAF64841; XP_016878163; NP_001374079; NP_115821; XP_016878159; A6BM72; NP_001371957; NP_001371958; EAW77754; NP_001371959; NP_001371960; EAW77757; AAQ88593; XP_016878162; NP_001371961; XP_016878160; NP_001371962; ; CAD38994; AAI26314
BC034761	AAH34761
NM_153448	ABS01462; ABS01469; ABS01479; ABS01480; ABS01482; NP_703149; ABS01455; ABS01481; EAX02755; AAH53599; ABS01452; ABS01454; ABS01466; ABS01474; ABS01483; ABS01456; ABS01461; ABS01463; ABS01467; AAH42633; ABS01457; ABS01464; ABS01475; ABS01477; Q8N693; AAM62141; ; ABS01460; ABS01468; ABS01473; ABS01476; ABS01453; ABS01458; ABS01471; ABS01472; ABS01459; ABS01465; ABS01470; ABS01478
NM_054017	Q96KT0; ; CAC82739; EAW65615
NM_145651	AAH69287; AAI11434; ; AAI11428; XP_005252861; NP_663626; Q8TD33; AAK08972; DAA00358
NM_173650	CBH30666; Q8N7S2; AAH35194; AAY24295; XP_016859361; EAX00608; CBH19272; EAX00609; ; AAK60572; XP_006712058; XP_016859362; XP_016859363; NP_001290056; NP_001290057; BAC05155; BAG63591; NP_775921
NM_173479	; XP_011524752; BAD18589; XP_016881772; Q6ZMY6; AAH31227; CBH19497; XP_011524751; XP_016881771; NP_775750
NM_138818	CCQ43495; EAW62581; EAW62584; EAW62586; AAH22571; AAI50642; XP_005251807; XP_011516629; XP_016869843; NP_001294978; ; ACY78253; XP_006717046; XP_006717048; XP_011516630; XP_016869834; XP_016869836; XP_016869841; XP_016869842; XP_016869847; Q8WUY3; BAA20822; AAR15151; ACY78254; XP_016869838; XP_016869845; NP_001294976; NP_001294979; EAW62585; EAW62588; BAD93351; BAG58979; BAG61715; XP_005251802; XP_005251803; XP_005251805; NP_001294977; XP_005251811; XP_006717045; XP_016869835; XP_016869839; XP_016869846; NP_001317609; EAW62583; BAJ08045; BAG60940; XP_005251808; XP_006717049; XP_016869837; NP_001294980; EAW62582; EAW62587; EAW62594; AAR15150; XP_016869840; NP_056040; XP_006717047; XP_011516625; XP_011516628; XP_016869848
NM_144614	; AAM28154; NP_653215; EAW69051; Q8NHZ7
NM_052866	XP_011516366; XP_011516369; XP_011516372; XP_016870800; AAK84170; AAI00791; CAE45975; XP_011516370; XP_016870802; NP_443098; BAC03925; BAF83356; AAH30262; ; AAI00789; NP_001035362; XP_011516365; XP_016870799; EAW58656; BAF84645; AAQ88693; Q8N6G6; AAK34948; XP_016870801; XP_016870803
NM_145208	BAG70276; ; NP_001380462; NP_001380463; EAW83996; AAI12059; NP_001380461; NP_660209; Q8WWY6; AAI12065; AAK72591
NM_152630	; NP_689843; XP_024308112; CAD97909; EAW98586; BAG54638; NP_001164045; Q8NEK8; AAH28710; BAG36603; AAH30784; AAH34979
NM_080475	AAV73923; NP_001278207; Q96P15; BAF85464; AAL16056; AAV73920; AAV73921; AAH69596; AAL16057; BAG59299; NP_001357404; AAL16058; AAU81932; ; AAV73922; NP_536723; EAW63158; NP_001278208
NM_145033	-
NM_148676	; P59022; EAX09688; AAH93855; BAC07550
NM_148914	EAW69642; NP_001138836; NP_001287987; EAW69646; AAL14848; AAH67750; XP_006716207; EAW69645; AAL14849; AAH08251; XP_024302715; XP_024302717; NP_683711; EAW69644; XP_024302718; EAW69647; Q8NFV4; AAG17214; AAM62312; AAM62313; ; AAH11712; XP_024302716; NP_683710; AAS07472; EAW69643; AAM62314; XP_011514893
NM_012287	XP_006713620; XP_011510904; XP_011510905; XP_011510908; XP_016861538; AAH60767; CAB41450; AAH31005; BAA05064; ; BAF83058; XP_016861536; Q15057; XP_016861537; EAW78027; XP_011510906; XP_011510907; NP_036419; EAW78026; XP_016861535
NM_138924	AAF01461; ACJ13666; NP_000147; NP_620279; Q14353; BAG59905; AAH16760; CAA90035; ; EAW69505; AAH17936; AAP35682; BAF82154; EAW69506; AAC27668
NM_133373	; CBU96768; CBF62945; EAW51545; EAW51546; AAH10668; NP_588614; CBU87821; BAB85550; EAW51544; CAD39054; CBF74688; EAW51547; Q8N3E9; BAB85029; XP_011522555; AAH72384; XP_024306322
BC014852	AAH14852
NM_006147	BAG59504; BAG35709; NP_001193625; AEL89176; O14896; EAW93439; ; AEK31251; EAW93438; AAH14852; AAB84111; NP_006138
NM_080923	-
NM_006699	XP_011538838; XP_006710365; XP_016855604; EAW56676; O60476; AAC26169; NP_006690; AAC26200; EAW56675; BAG50997; ; AAH63300
NM_025252	XP_005246836; EAW70345; XP_006712758; XP_011509948; XP_011509949; NP_998754; AAS16935; AAY14676; BAB69020; ; XP_005246834; NP_001316657; NP_976241; Q70E73; CAE48361; AAS16936; EAW70344; BAC04744; AAS82582; EAW70346; BAB21772; XP_011509950
